Time,Ave_Temp,Volt,Integral,Channel2,Channel3,Channel4
43.5,45.0974063873291,58.57,278.2192597389221,45.21704864501953,45.66299819946289,45.15904235839844,44.35053634643555
44.0,45.123690605163574,67.74,280.65741443634033,45.282310485839844,45.62311553955078,45.18079376220703,44.40854263305664
44.5,45.13275623321533,73,283.09103631973267,45.23880386352539,45.648494720458984,45.20254898071289,44.44117736816406
45.0,45.178982734680176,52.92,285.5015449523926,45.2786865234375,45.735511779785156,45.227928161621094,44.47380447387695
45.5,45.201491355895996,70.03,287.9007992744446,45.358299255371094,45.757110595703125,45.21327590942383,44.47727966308594
46.0,45.24514961242676,54.29,290.2782244682312,45.43096160888672,45.8007698059082,45.23517990112305,44.51368713378906
46.5,45.288503646850586,54.13,292.6339726448059,45.448936462402344,45.86225128173828,45.28940963745117,44.55341720581055
47.0,45.300289154052734,73,294.98382806777954,45.50332260131836,45.91300964355469,45.29666519165039,44.4881591796875
47.5,45.34213352203369,54.89,297.3127613067627,45.55785369873047,45.942169189453125,45.33306884765625,44.53544235229492
48.0,45.342132568359375,73,299.641695022583,45.59773635864258,45.956668853759766,45.329444885253906,44.48468017578125
48.5,45.36464309692383,69.0,301.9593734741211,45.60483932495117,45.97102355957031,45.36192321777344,44.52078628540039
49.0,45.36192321777344,73,304.2784118652344,45.572208404541016,45.974647521972656,45.351043701171875,44.5497932434082
49.5,45.393797874450684,62.19,306.58151292800903,45.608612060546875,46.00380325317383,45.387451171875,44.57532501220703
50.0,45.42280197143555,64.07,308.87011194229126,45.61586380004883,46.04368209838867,45.41283416748047,44.61882781982422
50.5,45.42265224456787,73,311.1587858200073,45.572208404541016,45.927513122558594,45.50332260131836,44.687564849853516
51.0,45.42990207672119,73,313.44383478164673,45.49606704711914,45.963768005371094,45.517826080322266,44.741947174072266
51.5,45.47431755065918,52.75,315.70667600631714,45.54320526123047,46.047157287597656,45.54320526123047,44.763702392578125
52.0,45.48806285858154,73,317.96264457702637,45.60498809814453,46.07994079589844,45.54697799682617,44.72034454345703
52.5,45.50332164764404,73,320.21098375320435,45.65196990966797,46.14142608642578,45.514198303222656,44.705692291259766
53.0,45.4933500289917,73,322.4643087387085,45.69547653198242,46.15592575073242,45.4815673828125,44.64043045043945
53.5,45.52613162994385,61.23,324.7012429237366,45.7862663269043,46.185081481933594,45.463592529296875,44.669586181640625
54.0,45.54773426055908,69.24,326.92737579345703,45.80061721801758,46.20668411254883,45.52507400512695,44.65856170654297
54.5,45.56405067443848,73,329.1453504562378,45.86587905883789,46.24656677246094,45.49244689941406,44.651309967041016
55.0,45.613901138305664,48.21,331.33839988708496,45.9166374206543,46.257442474365234,45.56132888793945,44.72019577026367
55.5,45.65378379821777,55.1,333.5115079879761,45.974647521972656,46.297325134277344,45.608463287353516,44.73469924926758
56.0,45.67916202545166,65.46,335.67192697525024,45.98915100097656,46.32270431518555,45.626590728759766,44.778202056884766
56.5,45.72448253631592,50.56,337.8096857070923,46.054412841796875,46.34808349609375,45.66646957397461,44.82896423339844
57.0,45.74532985687256,68.22,339.937020778656,46.145050048828125,46.398841857910156,45.65196990966797,44.785457611083984
57.5,45.731733322143555,73,342.07115411758423,46.126922607421875,46.398841857910156,45.63021469116211,44.77095413208008
58.0,45.74714183807373,72.49,344.19758319854736,46.184932708740234,46.46772766113281,45.59395980834961,44.741947174072266
58.5,45.77342700958252,64.41,346.3108696937561,46.27194595336914,46.511234283447266,45.586708068847656,44.723819732666016
59.0,45.82418632507324,46.14,348.3987765312195,46.3662109375,46.53661346435547,45.63384246826172,44.76007843017578
59.5,45.82056140899658,73,350.4884958267212,46.333580017089844,46.48585510253906,45.67735290527344,44.785457611083984
60.0,45.85409736633301,58.58,352.5614471435547,46.3299560546875,46.50761032104492,45.724483489990234,44.854339599609375
60.5,45.89579105377197,52.28,354.6135516166687,46.315452575683594,46.52210998535156,45.80424499511719,44.94135665893555
61.0,45.92645740509033,60.04,356.65032291412354,46.32255172729492,46.529212951660156,45.85485076904297,44.99921417236328
61.5,45.94111156463623,71.63,358.6797671318054,46.239315032958984,46.50035858154297,45.938392639160156,45.08638000488281
